KODJAZ;AKRCIS;KODCIS;UROVEN;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO;NADVAZ
"EN";"CISS_2010";80037;5;"14430";"Recipients of other transfers";"Recipients of other transfers";"01.01.2013";"09.09.9999";"14430"
"EN";"CISS_2010";80037;2;"15000";"Non-profit institutions serving households";"Non-profit institutions serving households";"01.01.2013";"09.09.9999";"10000"
"EN";"CISS_2010";80037;3;"15000";"Non-profit institutions serving households";"Non-profit institutions serving households";"01.01.2013";"09.09.9999";"15000"
"EN";"CISS_2010";80037;4;"15000";"Non-profit institutions serving households";"Non-profit institutions serving households";"01.01.2013";"09.09.9999";"15000"
"EN";"CISS_2010";80037;5;"15002";"Non-profit institutions serving households, national private";"Non-profit institutions serving households, national private";"01.01.2013";"09.09.9999";"15000"
"EN";"CISS_2010";80037;5;"15003";"Non-profit instit.serving households, under foreign control";"Non-profit institutions serving households, under foreign control";"01.01.2013";"09.09.9999";"15000"
"EN";"CISS_2010";80037;1;"20000";"Rest of the world";"Rest of the world";"01.01.2013";"09.09.9999";
"EN";"CISS_2010";80037;2;"21000";"Member States and institutions and bodies of the European Un";"Member States and institutions and bodies of the European Union";"01.01.2013";"09.09.9999";"20000"
"EN";"CISS_2010";80037;3;"21100";"Member States of the European Union";"Member States of the European Union";"01.01.2013";"09.09.9999";"21000"
"EN";"CISS_2010";80037;4;"21110";"Member States of the euro area";"Member States of the euro area";"01.01.2013";"09.09.9999";"21100"
"EN";"CISS_2010";80037;5;"21110";"Member States of the euro area";"Member States of the euro area";"01.01.2013";"09.09.9999";"21110"
"EN";"CISS_2010";80037;4;"21120";"Member States outside the euro area";"Member States outside the euro area";"01.01.2013";"09.09.9999";"21100"
"EN";"CISS_2010";80037;5;"21120";"Member States outside the euro area";"Member States outside the euro area";"01.01.2013";"09.09.9999";"21120"
"EN";"CISS_2010";80037;3;"21200";"Institutions and bodies of the European Union";"Institutions and bodies of the European Union";"01.01.2013";"09.09.9999";"21000"
"EN";"CISS_2010";80037;4;"21210";"The European Central Bank (ECB)";"The European Central Bank (ECB)";"01.01.2013";"09.09.9999";"21200"
"EN";"CISS_2010";80037;5;"21210";"The European Central Bank (ECB)";"The European Central Bank (ECB)";"01.01.2013";"09.09.9999";"21210"
"EN";"CISS_2010";80037;4;"21220";"European institutions and bodies, except the ECB";"European institutions and bodies, except the ECB";"01.01.2013";"09.09.9999";"21200"
"EN";"CISS_2010";80037;5;"21220";"European institutions and bodies, except the ECB";"European institutions and bodies, except the ECB";"01.01.2013";"09.09.9999";"21220"
"EN";"CISS_2010";80037;2;"22000";"Non-member countries and international organizations non-res";"Non-member countries and international organizations non-resident in the European Union";"01.01.2013";"09.09.9999";"20000"
"EN";"CISS_2010";80037;3;"22000";"Non-member countr. and inter. org. non-resident in the EU";"Non-member countries and international organizations non-resident in the European Union";"01.01.2013";"09.09.9999";"22000"
"EN";"CISS_2010";80037;4;"22000";"Non-member countries and inter.org.non-resident in the EU";"Non-member countries and international organizations non-resident in the European Union";"01.01.2013";"09.09.9999";"22000"
"EN";"CISS_2010";80037;5;"22000";"Non-member countries and internat. org. non resident of EU";"Non-member countries and international organizations non resident of EU";"01.01.2013";"09.09.9999";"22000"

