KODJAZ;AKRCIS;KODCIS;UROVEN;CHODNOTA;ZKRTEXT;TEXT;ADMPLOD;ADMNEPO;NADVAZ
"CS";"CZ-NACE_KL";80004;3;"013";"Mnoení rostlin";"Mnoení rostlin";"01.01.2008";"09.09.9999";"01"
"CS";"CZ-NACE_KL";80004;4;"0130";"Mnoení rostlin";"Mnoení rostlin";"01.01.2008";"09.09.9999";"013"
"CS";"CZ-NACE_KL";80004;5;"01300";"Mnoení rostlin";"Mnoení rostlin";"01.01.2008";"09.09.9999";"0130"
"CS";"CZ-NACE_KL";80004;3;"014";"ivoèišná vıroba";"ivoèišná vıroba";"01.01.2008";"09.09.9999";"01"
"CS";"CZ-NACE_KL";80004;4;"0141";"Chov mléèného skotu";"Chov mléèného skotu";"01.01.2008";"09.09.9999";"014"
"CS";"CZ-NACE_KL";80004;5;"01410";"Chov mléèného skotu";"Chov mléèného skotu";"01.01.2008";"09.09.9999";"0141"
"CS";"CZ-NACE_KL";80004;4;"0142";"Chov jiného skotu";"Chov jiného skotu";"01.01.2008";"09.09.9999";"014"
"CS";"CZ-NACE_KL";80004;5;"01420";"Chov jiného skotu";"Chov jiného skotu";"01.01.2008";"09.09.9999";"0142"
"CS";"CZ-NACE_KL";80004;4;"0143";"Chov koní a jinıch koòovitıch";"Chov koní a jinıch koòovitıch";"01.01.2008";"09.09.9999";"014"
"CS";"CZ-NACE_KL";80004;5;"01430";"Chov koní a jinıch koòovitıch";"Chov koní a jinıch koòovitıch";"01.01.2008";"09.09.9999";"0143"
"CS";"CZ-NACE_KL";80004;4;"0144";"Chov velbloudù a velbloudovitıch";"Chov velbloudù a velbloudovitıch";"01.01.2008";"09.09.9999";"014"
"CS";"CZ-NACE_KL";80004;5;"01440";"Chov velbloudù a velbloudovitıch";"Chov velbloudù a velbloudovitıch";"01.01.2008";"09.09.9999";"0144"
"CS";"CZ-NACE_KL";80004;4;"0145";"Chov ovcí a koz";"Chov ovcí a koz";"01.01.2008";"09.09.9999";"014"
"CS";"CZ-NACE_KL";80004;5;"01450";"Chov ovcí a koz";"Chov ovcí a koz";"01.01.2008";"09.09.9999";"0145"
"CS";"CZ-NACE_KL";80004;4;"0146";"Chov prasat";"Chov prasat";"01.01.2008";"09.09.9999";"014"
"CS";"CZ-NACE_KL";80004;5;"01460";"Chov prasat";"Chov prasat";"01.01.2008";"09.09.9999";"0146"
"CS";"CZ-NACE_KL";80004;4;"0147";"Chov drùbee";"Chov drùbee";"01.01.2008";"09.09.9999";"014"
"CS";"CZ-NACE_KL";80004;5;"01470";"Chov drùbee";"Chov drùbee";"01.01.2008";"09.09.9999";"0147"
"CS";"CZ-NACE_KL";80004;4;"0149";"Chov ostatních zvíøat";"Chov ostatních zvíøat";"01.01.2008";"09.09.9999";"014"
"CS";"CZ-NACE_KL";80004;5;"01491";"Chov drobnıch hospodáøskıch zvíøat";"Chov drobnıch hospodáøskıch zvíøat";"01.01.2008";"09.09.9999";"0149"
"CS";"CZ-NACE_KL";80004;5;"01492";"Chov koešinovıch zvíøat";"Chov koešinovıch zvíøat";"01.01.2008";"09.09.9999";"0149"
"CS";"CZ-NACE_KL";80004;5;"01493";"Chov zvíøat pro zájmovı chov";"Chov zvíøat pro zájmovı chov";"01.01.2008";"09.09.9999";"0149"
"CS";"CZ-NACE_KL";80004;5;"01499";"Chov ostatních zvíøat j. n.";"Chov ostatních zvíøat j. n.";"01.01.2008";"09.09.9999";"0149"
"CS";"CZ-NACE_KL";80004;3;"015";"Smíšené hospodáøství";"Smíšené hospodáøství";"01.01.2008";"09.09.9999";"01"
"CS";"CZ-NACE_KL";80004;4;"0150";"Smíšené hospodáøství";"Smíšené hospodáøství";"01.01.2008";"09.09.9999";"015"
"CS";"CZ-NACE_KL";80004;5;"01500";"Smíšené hospodáøství";"Smíšené hospodáøství";"01.01.2008";"09.09.9999";"0150"
"CS";"CZ-NACE_KL";80004;3;"016";"Podpùrné èinnosti pro zemìdìlství a posklizòové èinnosti";"Podpùrné èinnosti pro zemìdìlství a posklizòové èinnosti";"01.01.2008";"09.09.9999";"01"
"CS";"CZ-NACE_KL";80004;4;"0161";"Podpùrné èinnosti pro rostlinnou vırobu";"Podpùrné èinnosti pro rostlinnou vırobu";"01.01.2008";"09.09.9999";"016"
"CS";"CZ-NACE_KL";80004;5;"01610";"Podpùrné èinnosti pro rostlinnou vırobu";"Podpùrné èinnosti pro rostlinnou vırobu";"01.01.2008";"09.09.9999";"0161"
"CS";"CZ-NACE_KL";80004;4;"0162";"Podpùrné èinnosti pro ivoèišnou vırobu";"Podpùrné èinnosti pro ivoèišnou vırobu";"01.01.2008";"09.09.9999";"016"
"CS";"CZ-NACE_KL";80004;5;"01620";"Podpùrné èinnosti pro ivoèišnou vırobu";"Podpùrné èinnosti pro ivoèišnou vırobu";"01.01.2008";"09.09.9999";"0162"
"CS";"CZ-NACE_KL";80004;4;"0163";"Posklizòové èinnosti";"Posklizòové èinnosti";"01.01.2008";"09.09.9999";"016"
"CS";"CZ-NACE_KL";80004;5;"01630";"Posklizòové èinnosti";"Posklizòové èinnosti";"01.01.2008";"09.09.9999";"0163"
