ICO;NAZEV;ADRESA;OKRES_LAU;CISOB;FORMA;ADMPLOD;ADMNEPO;CISS_2010;NACE_KL;KATPOECD
"00177041";"ŠKODA AUTO a.s.";"Mladá Boleslav, 29301, Mladá Boleslav II, tø. Václava Klementa 869";"CZ0207";"535419";"121";1990-11-13;;"11003";"29100 45200 77110 702 471 69200 8532 854 93290 47740 74300 7219 86220";"510"
"00216208";"Univerzita Karlova";"Praha 1, 11000, Staré Mìsto, Ovocný trh 560/5";"CZ0100";"500054";"601";1972-01-01;;"13110";"85420 721 722";"510"
